"Timestamp","Have you had programming experience prior to starting Data Bootcamp?","I feel the pace of the lectures is...","Which topics would you like to review to keep up with the class (check all that apply)?"
"2016/09/28 1:59:51 PM AST","","Just about right",""
"2016/09/28 1:59:55 PM AST","","Too fast","Dictionaries -- from python fundamentals 2;Loops (for) --- from python fundamentals 2;Reading data from internet -- from Pandas 1: Data input;Working with variables in DataFrames  -- from Pandas 1: Data input;DataFrame properties and methods  -- from Pandas 1: Data input"
"2016/09/28 1:59:56 PM AST","","Just about right",""
"2016/09/28 2:07:10 PM AST","","Too fast","Reading data from internet -- from Pandas 1: Data input;Working with variables in DataFrames  -- from Pandas 1: Data input;DataFrame properties and methods  -- from Pandas 1: Data input"
"2016/09/28 2:30:53 PM AST","No","Too fast","Loops (for) --- from python fundamentals 2;List comprehensions (for inside square brackets) -- from python fundamentals 2;Reading data from internet -- from Pandas 1: Data input;Working with variables in DataFrames  -- from Pandas 1: Data input;DataFrame properties and methods  -- from Pandas 1: Data input"
"2016/09/28 2:33:00 PM AST","Yes","Just about right",""
"2016/09/28 2:36:23 PM AST","Yes","Just about right",""
"2016/09/28 2:49:06 PM AST","Yes","Too slow",""
"2016/09/28 3:29:29 PM AST","Yes","Too fast","List comprehensions (for inside square brackets) -- from python fundamentals 2;Importing packages -- from Pandas 1: Data input;Reading data from internet -- from Pandas 1: Data input;Working with variables in DataFrames  -- from Pandas 1: Data input;DataFrame properties and methods  -- from Pandas 1: Data input"
"2016/09/28 4:02:26 PM AST","No","Too fast","Conditionals (if/else) and comparisons (<, >, ==, etc.) -- from python fundamentals 2;Loops (for) --- from python fundamentals 2;List comprehensions (for inside square brackets) -- from python fundamentals 2;Defining our own functions -- from python fundamentals 2;Importing packages -- from Pandas 1: Data input;Reading data from internet -- from Pandas 1: Data input;Working with variables in DataFrames  -- from Pandas 1: Data input;DataFrame properties and methods  -- from Pandas 1: Data input"
"2016/09/28 4:30:25 PM AST","No","Too fast","Conditionals (if/else) and comparisons (<, >, ==, etc.) -- from python fundamentals 2;Slicing (square brackets) -- from python fundamentals 2;Loops (for) --- from python fundamentals 2;List comprehensions (for inside square brackets) -- from python fundamentals 2;DataFrame properties and methods  -- from Pandas 1: Data input"
"2016/09/28 5:24:43 PM AST","No","Too fast","Objects and methods -- from python fundamentals 1;Conditionals (if/else) and comparisons (<, >, ==, etc.) -- from python fundamentals 2;Slicing (square brackets) -- from python fundamentals 2;Loops (for) --- from python fundamentals 2;List comprehensions (for inside square brackets) -- from python fundamentals 2"
"2016/09/28 6:46:23 PM AST","Yes","Just about right",""
"2016/09/28 6:48:47 PM AST","No","Too fast","Defining our own functions -- from python fundamentals 2;DataFrame properties and methods  -- from Pandas 1: Data input"
"2016/09/28 9:27:21 PM AST","No","Just about right",""
"2016/09/28 9:28:57 PM AST","No","Just about right",""
"2016/09/29 1:32:09 AM AST","No","Too fast","Defining our own functions -- from python fundamentals 2;Importing packages -- from Pandas 1: Data input;Reading data from internet -- from Pandas 1: Data input;Working with variables in DataFrames  -- from Pandas 1: Data input;DataFrame properties and methods  -- from Pandas 1: Data input"
"2016/09/29 2:32:19 AM AST","No","Too fast","Defining our own functions -- from python fundamentals 2;Importing packages -- from Pandas 1: Data input;Reading data from internet -- from Pandas 1: Data input;Working with variables in DataFrames  -- from Pandas 1: Data input;DataFrame properties and methods  -- from Pandas 1: Data input"
"2016/09/29 9:01:09 PM AST","No","Just about right",""